Material,JOB_TYPE,BOARD_TYPE,METAL_CORE_TYPE,HATS_COUPON_TYPE,FAI_TYPE,FINISH_CS,SEL_PLT_CS,NEED_MICROWAVE,EXIST_VCUT,CUST_THK_MEASURE_METOD,SERIAL_NUM,CAM_LAYUP,FINISH_PS,SEL_PLT_PS,EXIST_CU_SPOT,EXIST_CU_FILL,EXIST_SILVER_PRINT,EXIST_LASER,EXIST_SUB,EXIST_IMPEDANCE,EXIST_CU_PASTE,CIRCUIT_TYPE,SAP_HS,SAP_FAMILY_GROUP,PLATED_COUNTERSINK,ETCHBACK,SUPPLY_IN_PCBS_PANEL,EXIST_DR2,SURFACE_CONTAMINATION,COCOON_DEPT_ROUT,VGROOVE_METHOD,PHASE_METHOD,STRAIN_RELIEF,ROUTING_PHASE,PEELABLE,SPEC,COPPER_TYPE_TOP,COPPER_TYPE_BOT,SPOT_TYPE,PASTE_APPLY,SILK,PASTE_TYPE,FAMILY_GROUP,CU_SPOT_SIDE,ETCH_PROTECT_CS,ETCH_PROTECT_PS,COCOON_TYPE,THICKNESS_CALC_METHOD,CUSTOMER,CUSTOMER_REV,ME_DATA_TO_C_FLSTOCKRECEIPT,ME_MTR_GROUP,ME_DATA_TO_C_ASSEMBLY,ME_DATA_TO_C_REMOVAL,PROC_CODE,SM_SIDE,SS_SIDE,CROSS_SEC_NUM,SUPPLY_IN_ARRAY,HS_VENDOR,END_USE_MATERIAL,WRAP_REQUIRMENT,GROUP_B,ALLOW_REJECTS_IN_ARRAY,IMAGE_ENG,CUSTOMER_ITEM,END_CUSTOMER,LEADING_MATERIAL,SM_COLOR_CS,SM_COLOR_PS,SS_COLOR_CS,SS_COLOR_PS,BURIED_RESISTOR_EXIST,BURIED_CAPACITOR_EXIST,CAVITY_EXIST,JOB_NON_STOCK_MATERIAL,AIR_CAVITY,JOB_LASER_TYPE,CARBON
M1A621D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER ACCESSORY,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,KAPTON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,,,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER RAW FOIL,10316,B,NONE,MIL PRF 55110G,NONE,NONE,ABHS,PS,PS,ALL,NO,SUBCONTRACTOR  CUSTOMER ROH,NO,NONE,NO,NA,SASHAS,3382-2415-520,,M1A621D-A,,,,,,,,,,,
M1A692B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON LAMINATE,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10303,,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ALEXK,8651-2401-00A,10302,M1A692B-A,,,,,,,,,,,
M1A714C-A,,,,,,,,,,,,,,,,,,,,,,RIGID,,,,,,,,,,,,,,IPC 6012 CLASS3,,,,,,,,,,,,,10341,,NONE,IPC 6012 CLASS3,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1A714D-A,STANDARD,COMMERCIAL,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,NO,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS2,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10341,B,NONE,IPC 6012 CLASS2,NONE,NONE,APCB,CS-PS,CS-PS,,,,,,,,,2056-32096-00,,M1A714D-A,,,,,,,,,,,
M1A730D-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,12146,B,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,NONE,M158B01,12146,M1A730D-A,,,,,,,,,,,
M1A732D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,MIXED,MIXED,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10303,--,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,32159A-01,10303,M1A732D-A,,,,,,,,,,,
M1A747B-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,C,,,,,,,,,,,,,,,,600-2010-700,,,,,,,,,,,,,
M1A747C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER ACCESSORY,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,FLEX,NO,KAPTON,NO,YES,NO,YES,NO,NO,NONE,NONE,YES,NONE,NONE,MIL P 50884E,,,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER ACCESSORY,10190,D,,MIL P 50884E,,,ABST,NONE,CS,ALL,NO,NONE,NO,NONE,NO,NA,HERZELE,600-2010-700,,M1A747C-A,,,,,,,,,,,
M1A765B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10190,A,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,PARTIAL,NO,NONE,NO,NONE,NO,NA,OLEGF,600-2010-828,,M1A765B-A,,,,,,,,,,,
M1A813C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER ACCESSORY,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID,YES,POLYAMID,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER ACCESSORY,10302,--,NONE,IPC 6012 CLASS3,NONE,NONE,ABHS,PS,PS,ALL,NO,SUPPLIER,NO,NONE,NO,NA,ALEXK,4422-2851-00,10302,M1A813C-A,,,,,,,,,,,
M1A819D-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,YES,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,YES,NO,NO,YES,NONE,MANUAL,YES,HOLE,NONE,MIL P 50884E,SIGNAL,SIGNAL,THROUGH,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,10333,,NONE,MIL P 50884E,NONE,NONE,APCB,NONE,CS,ALL,YES,NONE,,,,,,1001Y391-003,10333,M1A819D-A,,,,,,,,,,,
M1A819E-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,YES,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,YES,NONE,MANUAL,YES,HOLE,NONE,MIL P 50884E,SIGNAL,SIGNAL,THROUGH,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,10333,,NONE,MIL P 50884E,NONE,NONE,APCB,NONE,CS,ALL,YES,NONE,,,,,,1001Y391-003,10333,M1A819E-A,,,,,,,,,,,
M1A883A-A,,COMMERCIAL,,,,CHM_GOLD,,,,,,,CHM_GOLD,,,,,,,,,RIGID,,GLASS EPOXY,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1A883B-A,STANDARD,MILITARY,NONE,NONE,PER AS9100,NONE,NONE,NO,NO,OVER RAW FOIL,YES,FOIL,NONE,NONE,NO,NO,NO,NO,NO,NO,NO,FLEX,NO,KAPTON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,KAPTON,NONE,ARTWORK,ARTWORK,NONE,OVER RAW FOIL,10333,,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,NONE,CS,,,,,,,,,5207T538-001B,,M1A883B-A,,,,,,,,,,,
M1A883C-A,STANDARD,MILITARY,NONE,NONE,NONE,NONE,NONE,NO,NO,OVER RAW FOIL,YES,FOIL,NONE,NONE,NO,NO,NO,NO,NO,NO,NO,FLEX,NO,KAPTON,NO,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SCREEN,NONE,KAPTON,NONE,ARTWORK,ARTWORK,NONE,OVER RAW FOIL,10333,,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,NONE,CS,NONE,NO,NONE,NO,NONE,NO,NA,HERZELE,5207T538-001C,,M1A883C-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1A897C-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,YES,YES,NO,NO,NO,NO,NONE,MACHINE,NO,HOLE,NONE,MIL PRF 55110G,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,GLASS EPOXY,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10079,,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,,,,,,,,,HVSD30001A,10208,M1A897C-A,,,,,,,,,,,
M1A914B-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER LAMINATE,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,NO,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER LAMINATE,10009,0,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,9821E130-01,,M1A914B-A,,,,,,,,,,,
M1A928C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,YES,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,CERAMIC,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6018 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6018 CLASS3,NONE,NONE,APCB,CS,CS-PS,ALL,NO,NONE,NO,IPC 6018 CLASS3,NO,NA,ALEXK,1093M631-001B,,M1A928C-A,,,,,,,,,,,
M1A934C-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,YES,NO,NO,NO,NO,YES,NO,RIGID,NO,CERAMIC,NO,YES,NO,YES,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,,,,,,1093M661-001A,10333,M1A934C-A,,,,,,,,,,,
M1A934D-A,STANDARD,MILITARY,NONE,NONE,PER AS9102 REPORT,CHM_GOLD,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,CHM_GOLD,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,CERAMIC,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,MIXED,MIXED,NONE,NONE,SCREEN,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ALEXK,1093M661-001A,10333,M1A934D-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1A935C-A,STANDARD,MILITARY,NONE,EXTERNAL,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,YES,NO,NO,NO,NO,NO,NO,RIGID,NO,POLYAMID,YES,NO,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,THROUGH,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10333,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,ALEXK,5000V011-002A,10333,M1A935C-A,,,,,,,,,,,
M1A941B-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1A970D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 MICRO SECTION,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,NO,FOIL,HAL,NONE,YES,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,MANUAL,NO,NONE,NONE,IPC 6012 CLASS3,SIGNAL,SIGNAL,THROUGH,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10024,,NONE,IPC 6012 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,TRYV6231A7,10208,M1A970D-A,,,,,,,,,,,
M1A971D-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,FOIL,HAL,NONE,NO,NO,NO,NO,NO,YES,NO,RIGID,NO,GLASS EPOXY,NO,YES,NO,NO,NO,NO,NONE,NONE,NO,NONE,NONE,MIL PRF 55110G,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON PLATED COPPER,10208,,NONE,MIL PRF 55110G,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,NONE,NO,NA,OLEGF,TU1M6241B,10208,M1A971D-A,,,,,,,,,,,
M1A977D-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,NONE,,,,,,,,,,,,,,,,,,,,,,,,,
M1A977E-A,STANDARD,MILITARY,NONE,NONE,PER AS9100 REPORT,HAL,NONE,NO,NO,OVER PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,YES,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,MIXED,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER PLATED COPPER,10316,A,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,,,,,,,,,1406-1004-500,10316,M1A977E-A,,,,,,,,,,,
M1A977F-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON PLATED COPPER,YES,CORE,HAL,NONE,NO,NO,NO,NO,NO,NO,NO,RIGID FLEX,NO,KAPTON,NO,YES,NO,NO,NO,YES,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,SIGNAL,SIGNAL,NONE,NONE,SPRINT,NONE,MIX,NONE,ARTWORK,ARTWORK,RHR-RHU,OVER MASK ON PLATED COPPER,10316,A,NONE,IPC 6013 CLASS3,NONE,NONE,APCB,CS-PS,CS-PS,ALL,NO,NONE,NO,IPC 6013 CLASS3,NO,NA,HERZELE,D1406-1004-500,10316,M1A977F-A,,,,,NO,NO,NO,NO,NO,NONE,NO
M1A989B-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPC 6013 CLASS3,,,,,,,,,,,,,10190,B,,IPC 6013 CLASS3,,,,,,,,,,,,,,826-0003-590,,,,,,,,,,,,,
M1A989C-A,STANDARD,MILITARY,NONE,NONE,NONE,HAL,NONE,NO,NO,OVER MASK ON ACCESSORY,YES,FOIL,HAL,NONE,YES,NO,NO,NO,NO,NO,NO,FLEX,NO,KAPTON,NO,YES,NO,NO,NO,NO,NONE,NONE,YES,NONE,NONE,IPC 6013 CLASS3,,,NONE,NONE,NONE,NONE,MIX,NONE,ARTWORK,ARTWORK,NONE,OVER MASK ON ACCESSORY,10190,B,NONE,IPC 6013 CLASS3,NONE,NONE,ABST,NONE,PS,ALL,NO,NONE,,,,,,826-0003-590,10190,M1A989C-A,,,,,,,,,,,
M1A990A-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10190,-,,,,,,,,,,,,,,,,826-0003-589,,,,,,,,,,,,,
